crop,X437,X447,X457,X468,X478,X488,X498,X508,X518,X529,X539,X549,X559,X569,X579,X590,X600,X610,X620,X630,X641,X651,X661,X671,X681,X691,X702,X712,X722,X732,X742,X752,X763,X773,X783,X793,X803,X813,X824,X834,X844,X854,X864,X875,X885,X895,X905,X912,X915,X923,X983,X993,X1003,X1013,X1023,X1033,X1044,X1054,X1064,X1074,X1084,X1094,X1175,X1185,X1195,X1205,X1215,X1225,X1235,X1245,X1255,X1266,X1276,X1286,X1296,X1306,X1316,X1518,X1528,X1538,X1548,X1558,X1568,X1578,X1588,X1599,X1609,X1619,X1629,X1639,X1649,X1659,X1669,X1679,X1689,X1699,X1710,X1720,X1730,X1740,X1750,X1760,X2063,X2073,X2083,X2093,X2103,X2113,X2123,X2133,X2143,X2153,X2163,X2174,X2184,X2194,X2204,X2214,X2224,X2234,X2244,X2254,X2264,X2274,X2285,X2295,X2305,X2315,X2325,X2335,X2345
corn,15.0890425,13.39966014,12.39231701,11.99908846,11.70165536,11.42511515,11.06337641,10.85965875,10.96933541,11.26668443,11.67622219,11.80257808,11.38228888,10.54894286,9.687267478,9.010291791,8.624123453,8.160468476,7.738412722,7.292270399,6.977622212,6.612313399,6.285902508,5.984022206,5.944129624,6.352343089,8.254144343,11.58081685,18.98712807,28.48675261,37.88440828,45.07664433,48.8862009,51.74403188,52.08152019,52.25138865,49.82779344,47.78437094,47.04168893,49.69073094,52.91543986,55.2689541,56.5732465,56.24505694,53.93024484,48.76206677,46.47409031,44.08238554,43.63975142,40.9661404,36.64063115,39.68953797,42.13327659,44.25717228,46.22367555,47.77673484,48.76673153,49.77984136,49.96276779,50.02749556,47.54527402,43.50435427,31.26866791,32.45437247,33.73026653,34.84736872,36.46553182,38.38440128,39.05715834,38.41115021,36.23224069,35.36196762,36.01029359,37.09423338,34.59157372,30.44448317,25.124544,9.441694265,10.94599674,12.35742491,13.58990256,14.22096277,14.78057019,15.41834681,16.18657389,16.97579458,17.67141846,18.50714711,18.77945904,19.02337051,19.11154572,19.56512422,19.65595017,19.76531234,19.33744607,18.84326523,18.0541437,17.46070466,16.79647214,15.85065039,14.78677014,13.29996123,2.44551289,3.667733819,4.911373939,5.81485026,5.658687331,5.836243836,6.379210008,6.86946525,6.744961438,6.745375689,7.008810843,7.257879707,7.102294674,6.695459075,6.7754584,7.525893438,8.279002129,8.321447126,7.576948484,6.903858819,6.62935406,6.435292236,6.062753415,5.696773333,5.346203843,4.628171904,3.77109601,2.884159497,2.487687055
winter_wheat,19.9102644,18.45504516,17.54326028,17.86088543,18.07278073,18.25895445,18.44527618,18.59779996,18.93412473,19.0759677,19.76152014,20.58437262,21.28673153,21.60922361,22.28414227,22.69567973,23.6070342,23.98285338,24.67470768,25.0025036,25.42771526,25.52093672,26.14058626,26.71767129,27.48618258,27.64207711,27.23599916,25.74201515,26.21728715,28.01179533,30.66571754,32.14017746,32.55183457,33.46725288,33.42835102,33.44598863,31.92299768,30.40691381,30.0675294,32.1542265,35.02087196,37.35817667,38.81459948,38.99634126,37.43524268,33.42041399,31.31274639,29.02751184,28.38362488,27.36979859,30.34038375,32.94791792,34.18012038,35.97306409,37.45331491,38.4509466,38.69316556,39.26951851,39.38053987,39.18989368,36.90943277,33.04371887,31.11679333,32.61246743,34.08292589,36.00317181,38.40518184,40.8427723,41.72937537,41.36067906,39.58618944,38.89416597,39.18825196,40.45893966,37.69614275,33.58213961,27.33667054,29.51059021,31.93473502,33.6157322,34.9984661,35.13876461,34.90212491,34.79867075,35.37324254,36.2562592,37.51442377,38.89937731,39.78696049,39.76212378,39.4290174,39.13702609,39.05299858,38.99430853,38.21176157,37.46270529,36.09960898,35.2526753,33.417966,31.93654899,29.871273,26.97227482,18.93526966,20.95201169,23.23438835,24.49073826,25.06564272,25.59519871,26.54417511,28.03560983,28.08384754,27.04703902,25.51245024,25.37456227,25.46833751,25.05353396,25.01516403,26.10957087,27.30467057,26.18717765,24.15346737,22.42248109,22.4546244,21.91044949,20.53580359,20.22362516,20.232418,20.24611884,18.58747369,16.5209336,15.53740198
winter_wheat,20.70292738,18.73181186,17.70039424,17.78171435,17.8663365,17.78186719,17.52428996,17.48988258,17.90175606,18.44575172,19.34093421,20.05209914,20.25146144,19.66875599,19.2815819,18.75603889,18.90254149,18.49063621,18.33378217,18.0163607,18.07906566,17.8554456,17.86854803,17.67693602,18.05516152,18.79310587,21.38253406,24.11356904,29.68417109,35.51070609,41.39111093,44.1094507,45.11386957,46.4812555,47.19886535,47.5008894,45.56302202,43.37070426,42.54042741,44.79918891,48.55027333,51.53273434,53.3335952,53.58495907,51.95383295,46.56211468,44.47529026,41.44713776,41.96458479,38.88277868,38.40322563,42.20112098,44.64092323,46.10899569,47.35134939,48.5955749,49.57397432,50.53792508,50.66471974,50.84171305,48.41841008,44.04883434,38.89725708,40.32533527,41.46636066,43.18251114,45.82536251,48.92700268,50.0865189,49.7626057,46.96281432,45.76188847,45.90347808,47.6347215,45.11204762,40.25986596,33.02767096,27.27101664,29.9968655,32.04391658,33.65950356,33.79083362,33.49180979,33.74637046,34.28293506,35.39164906,36.82502553,38.7006503,39.30876582,38.95677899,38.71433438,39.19622242,39.56138164,39.23597877,38.49637791,37.8557825,37.0551568,36.2047258,34.25570201,32.57486418,30.21868634,27.8531101,17.18363899,20.04429448,22.80215473,24.33678526,25.09903334,25.21371045,25.964857,26.98508004,27.26729984,26.29819779,24.95935975,25.23055658,25.56638844,25.03178584,24.23125181,24.57036677,25.47066399,24.79524503,23.5211887,22.59703015,22.69317003,22.17352911,20.93148997,20.55928112,20.46699322,20.33490543,18.5693329,16.66382481,15.83036715
soybean,17.66911323,15.79881672,14.82494599,14.77441798,14.58666191,14.48162168,14.30486253,14.16740928,14.17688731,14.05965826,14.32519059,14.70657452,14.93302387,14.8167207,15.00787289,15.15441031,15.5883036,15.60267677,15.72927426,15.87689725,16.20358449,16.32703772,16.54112298,16.65069028,17.13960556,18.31679814,19.45375241,20.2961115,21.51027647,22.65062887,23.48365733,23.19175238,23.71516634,25.19475295,26.72192298,27.67939,27.990146,28.34227402,28.97949142,30.14785515,31.62213178,32.68189949,33.88400235,34.21525283,34.50625086,33.28837602,36.0403789,36.00746099,36.81302178,34.21299406,31.2179273,31.88891431,32.44254052,33.94536173,35.50766018,36.96267625,37.82761736,38.36947684,38.25670001,38.60278096,38.21824749,37.67538325,37.32943727,36.08180801,36.08493033,35.96586846,37.31926979,38.31603317,37.82229352,36.23474801,34.06009313,33.47962246,34.60896159,37.15739577,36.77123825,35.67604699,32.55319707,21.61165221,21.91875661,22.44673588,23.02522476,22.84549639,22.79023566,23.28314356,23.65946049,24.01331788,24.93684051,26.43798668,27.37933674,27.54007294,28.04268357,28.55498215,28.07694135,27.08594742,26.36911846,26.58766763,26.35234001,25.9181602,25.41675612,25.5131088,25.03646071,24.40589276,10.14423999,12.28632305,13.66540042,14.26481766,14.80759212,14.93127352,14.958703,15.64180122,16.70034513,16.69587112,16.21503376,16.59277592,17.2876307,17.54478561,16.65884778,17.13063516,17.50060123,16.80964195,14.89972933,13.61194353,13.07212045,12.91990395,12.19497932,11.43266652,10.18813387,10.3103817,10.42192028,10.40347525,9.279292721
rice,17.90512092,16.06712284,15.05766098,14.86688547,14.57105261,14.12023609,13.65313833,13.25600855,13.37520631,13.61944663,14.3110354,14.79500025,14.70631137,13.91879435,13.05492537,12.19228207,11.68842699,10.88623125,10.24431649,9.589134251,9.244151033,8.748536267,8.298645814,7.739784918,7.551633286,7.995419871,10.78866833,14.61553826,20.76045981,27.10935652,34.22562415,39.51093604,41.26781944,43.01165872,43.77065859,45.63718207,45.30837449,43.86249533,42.81587654,42.88932273,44.72006381,46.52112535,47.93434515,48.11213586,48.33843014,44.73260051,42.47054311,39.67821024,39.4336395,39.72931437,32.97091678,34.99285581,35.85281499,36.83071051,37.6268966,38.81421823,39.889297,40.89215043,41.13429784,41.20052942,40.05827487,37.8814011,29.40374846,29.55962841,29.96474914,30.34881628,31.21744487,32.19524228,32.28046329,31.58201763,29.48570493,28.87197958,29.77392021,31.47422884,30.12632119,26.99062969,23.14331757,9.128621821,9.971248822,10.78451036,11.58646347,12.0316854,12.43971405,12.93775206,13.65742702,14.39907643,15.00221621,15.57464578,15.78400809,15.95573632,16.13940824,16.54716527,16.39020166,16.1118318,15.72792899,15.68850813,15.33141914,14.81009622,14.27744433,13.77571957,13.31199515,12.37246599,2.750129813,3.392785614,4.394768796,4.978293894,5.246697203,5.205228263,5.388719711,6.072823331,6.608567562,6.637541779,6.256309986,6.302265907,6.748617147,7.032797968,7.062196841,7.071119651,7.056393137,6.495584322,5.847684543,5.366124433,5.336244038,5.843547029,5.998681761,5.624974187,4.711784005,4.362353629,4.375671115,4.340297316,4.149875137
corn,20.30314475,18.87516286,18.26016412,18.59968431,18.87971761,19.08203978,19.25265741,19.31913079,19.65534448,19.77634892,20.46555422,21.13321522,21.55194202,21.44427274,21.75377411,22.02578605,22.73503911,22.6623725,22.94488968,23.02879468,23.73835551,23.89512136,24.52982605,24.95840671,25.82542423,26.19481575,26.57546317,26.20724547,27.01359209,27.90406783,29.65349063,29.41247924,29.16287545,29.83166093,31.44316257,32.72128706,32.50724348,31.59395054,31.2439532,31.8786335,33.74069395,35.25171761,36.4815185,36.90024115,37.0988889,34.80820219,35.58052173,33.96312021,35.44916796,32.62831107,30.28532519,31.42390697,32.20077077,33.24788364,34.26863505,35.25157283,35.81916111,36.6114042,36.71227735,37.00158329,36.01992673,34.77988267,36.26747867,36.532452,37.16589354,37.8753139,39.27201274,40.56763893,40.45922885,39.48234439,36.90403648,35.77329185,36.66791697,39.35507127,39.14629455,37.10588726,33.28706346,35.88136961,37.2516924,37.95303071,38.97385903,38.61463213,38.44457311,38.84646545,39.56121599,39.92680609,39.91635977,40.76999198,41.07476719,41.33529012,41.1262288,41.28904025,41.21084553,41.13397827,41.21162779,41.23762389,41.37156965,41.43599367,40.7012191,39.73714951,38.48903395,37.36053293,25.88551246,30.0712431,33.21652965,35.95347544,37.56455512,38.28411239,38.91406612,38.73630981,38.58734047,36.9424298,36.23037124,36.82019455,37.42830502,36.5462337,35.8997978,36.63961211,38.01333296,37.35236073,35.59284836,33.51648078,32.6058982,31.46845113,30.10189606,29.7490431,29.56936848,30.15595237,28.90442453,26.44747684,24.47362245
soybean,19.12458933,17.15711317,16.0253169,15.6480772,15.37121073,14.90789678,14.33459677,14.08251594,14.38167435,14.82211396,15.73795587,16.25060715,15.94149194,14.71581894,13.56556714,12.52768032,11.91980913,11.05465281,10.41615169,9.840485187,9.370294079,8.776553796,8.288417491,7.788656843,7.643648039,8.680207744,13.90819842,21.82643193,35.40118036,48.96633473,60.53106954,64.64836309,67.68293991,70.59058255,73.98270433,74.53016082,71.75425397,69.05319274,68.06787203,71.34187309,75.61643202,78.92545648,80.98935912,80.97580788,78.42668712,71.23466589,67.56166421,63.38298354,62.36919874,60.53571994,52.17842785,56.43038859,58.83565711,61.18939075,63.14904025,65.19434393,67.11130336,68.52899038,68.97022276,68.86743613,66.27488366,61.4066585,45.87984108,46.65308018,47.7910591,49.02868315,51.35270251,53.87463189,54.51472997,53.7475515,50.59670484,49.26783502,49.89153394,51.91038994,49.36637065,44.1893166,36.73187079,16.20149333,16.02482999,17.76837148,19.17633068,19.79625273,20.39809922,21.31759461,22.34646978,23.3689086,24.61067777,26.25324017,27.1598221,27.41825673,27.52903333,27.92394853,28.04953464,27.71270403,27.14425577,26.65897139,25.95884205,25.15489038,24.36393788,23.6159513,22.21031751,19.91273687,3.327237783,4.486805007,5.689237783,7.360744039,8.742204063,9.183992946,9.067258,9.44725345,10.32303853,9.755065361,8.608474911,9.470141208,11.31098106,11.93031856,10.97884703,10.92126021,11.71152993,11.83479265,10.71569792,9.837968191,9.400552849,9.214632334,8.533736378,8.20902583,7.876911722,7.880218604,7.396535907,7.081704488,7.287682507
soybean,14.92991782,13.31482728,12.44055874,12.20109656,11.97876479,11.6243401,11.22341928,10.9654072,11.06503859,11.19790471,11.56468605,11.68418,11.3163475,10.467754,9.648372024,8.885358951,8.404814605,7.869122091,7.470694081,7.117583994,6.761772555,6.358920945,6.014726402,5.721156558,5.716354434,6.101426483,8.656694216,12.65494928,21.25513741,32.28030381,43.46900131,50.97469082,54.8273085,57.45384106,58.30996295,57.83314807,54.05471364,50.54002098,49.51768251,53.41584084,58.62579324,62.57980355,64.9065665,64.96422909,62.03009541,54.17901511,49.01684004,44.61694485,43.88768348,41.87842208,41.03397081,46.87052289,50.35505726,52.15636512,54.11087785,56.08206213,57.62731529,58.72586702,58.56077082,57.95191647,54.30485107,47.39146478,32.13721472,34.27508122,36.12662394,38.20261744,41.1176564,44.15415201,45.56810078,45.16472331,42.95911414,42.13180329,42.43082518,42.79817061,38.37642267,32.20472413,24.54391982,10.91385966,13.01888397,14.75514013,16.37574431,17.31334683,17.83545011,18.56718206,19.43793202,20.50398591,21.27195228,22.15719828,22.82061177,23.36006193,23.53802382,23.41055616,23.15640329,23.0660606,22.2888442,21.50119382,20.30546506,19.66499603,18.21287856,16.68938396,14.73972584,12.53344067,4.092979273,4.676748214,4.96362491,5.735614689,6.611969888,7.322386837,7.686677727,8.669323585,9.254877447,8.643398802,7.646611435,7.243527901,7.5943908,8.117970951,8.602517948,9.149794553,9.468579703,9.164174687,8.748038057,7.980582558,7.530135483,6.824731929,6.052837494,5.20739576,4.313658951,4.444771312,4.614460586,4.940453067,4.485675982
soybean,21.85640285,20.33450588,19.23707497,19.4884464,19.59251943,19.8294308,19.95726061,20.10551749,20.34864173,20.5243712,21.05409293,21.58573957,21.76147419,21.56933628,21.90272593,22.0434387,22.5951301,22.41047286,22.60214592,22.64721865,23.11513011,23.24654584,23.69154579,23.93306205,24.57352745,24.93126949,25.120012,24.63300155,25.41488126,26.3091435,27.59433319,27.88417293,27.9132764,28.68103138,29.29212265,30.12198765,30.1366408,29.7374855,29.94670118,30.65790208,32.08538021,33.14548542,34.33079957,34.55294722,34.77302484,33.08288038,34.52041932,33.69978756,34.54516904,32.17720613,32.13745268,33.37298523,33.94459609,34.49606731,35.14301972,35.7289956,36.61035614,37.72705488,38.13019071,38.14609575,37.15206712,36.60994742,41.00884898,40.72958733,41.90414301,42.71148315,43.76832987,44.60403181,43.8599278,42.5571412,40.20679718,39.57657574,40.55880199,42.93837413,42.26692301,40.54852681,36.9350443,43.35157131,44.15393806,44.39974245,44.8821297,44.14491511,43.32326857,43.1698472,43.72613258,44.18494692,45.1619571,46.71060698,47.21151737,47.17949339,47.13699283,47.36889571,47.24275527,47.1197011,46.97434318,47.24708203,46.73155365,46.45868168,45.40213921,44.67460505,43.94004473,42.89752943,33.34016951,37.59795471,40.82500329,42.38956719,43.81713895,44.05031145,44.07243549,44.01656471,44.0627049,42.56250355,40.79543226,40.21844301,39.90202876,38.9647683,37.96196572,38.6056894,39.30111105,38.2923216,36.34365239,35.07903456,34.91842742,34.62386893,33.36260806,32.97783283,32.20544904,32.34710123,30.41667205,28.45910938,27.14278798
soybean,16.83242614,15.182618,14.35787784,14.32882658,14.17272965,13.97445965,13.65077335,13.45189247,13.60574947,13.93721931,14.57451626,15.06050793,15.01556432,14.36447219,13.75985148,13.25193075,13.00034341,12.51037464,12.16907777,11.87684348,11.79199863,11.50177983,11.48361159,11.31827788,11.54616062,12.07819496,14.54037282,17.90511257,23.30808022,27.98869491,31.96573381,33.98907262,34.47963131,35.44893399,36.05382169,37.18251189,36.92854851,36.1478637,35.84757995,36.60028417,38.13424811,39.56874231,40.76019661,41.10099577,41.28878136,38.93688784,41.07697604,39.74777118,40.80945965,37.44844698,35.32222407,36.52992448,37.17148253,38.26487675,39.05603682,39.70961712,40.69679153,41.74714489,42.34665609,42.42036877,41.53811295,39.96938142,41.04664034,40.94760455,41.90533339,42.53469984,43.57289021,44.55924602,44.03481308,42.75337864,40.49996432,39.95808211,41.28054352,43.33648777,42.33012358,40.2291453,36.30104271,30.12698214,31.50590744,32.58872556,33.34354235,33.24660612,33.17092986,33.53907599,34.21267163,34.95095227,36.03049197,37.38779512,38.13850328,38.50596212,38.67872135,38.91104873,38.66211851,38.54281021,38.62611377,38.70943382,37.93568041,36.64279857,35.65448302,35.30866954,34.34007204,32.66574476,19.67888486,22.5692232,25.08496999,27.29378135,28.92059548,30.12348253,30.93118709,30.94660301,31.03744183,29.47333863,28.74773191,28.27252214,28.08460927,27.45689112,26.88494593,27.38028679,28.00287551,27.10661812,25.52307515,24.17293706,24.012045,23.72255315,22.53516627,22.37499706,22.13200731,23.06334478,21.96664815,20.40568828,18.53030615
