epoch,train_accuracy,validation_accuracy,time,band_1,band_2
0,0.35677,0.33333,0.91,43,87
1,0.38081,0.35802,0.91,43,87
2,0.3831,0.36008,0.92,43,87
3,0.38379,0.36008,0.93,43,87
4,0.38379,0.36008,0.93,43,87
5,0.38379,0.36008,0.94,43,87
6,0.38379,0.36008,0.94,44,87
7,0.38379,0.36008,0.95,44,87
8,0.38379,0.36008,0.96,44,87
9,0.38379,0.36008,0.96,44,87
10,0.38379,0.36008,0.97,44,87
11,0.38379,0.36008,0.98,44,87
12,0.38379,0.36008,0.98,44,87
13,0.38379,0.36008,0.99,44,87
14,0.38379,0.36008,1.0,44,87
15,0.38379,0.36008,1.0,44,87
16,0.38379,0.36008,1.01,44,87
17,0.38379,0.36008,1.02,44,87
18,0.38379,0.36008,1.02,44,87
19,0.38379,0.36008,1.03,44,87
20,0.38379,0.36008,1.03,44,87
21,0.38379,0.36008,1.04,44,87
22,0.38379,0.36008,1.05,44,87
23,0.38379,0.36008,1.05,44,87
24,0.38379,0.36008,1.06,44,87
25,0.38379,0.36008,1.07,44,87
26,0.38379,0.36008,1.07,44,87
27,0.38379,0.36008,1.08,44,87
28,0.38379,0.36008,1.09,44,87
29,0.38379,0.36008,1.09,44,87
30,0.38379,0.36008,1.1,44,87
31,0.38379,0.36008,1.1,44,88
32,0.38379,0.36008,1.11,44,88
33,0.38379,0.36008,1.12,44,88
34,0.38379,0.36008,1.13,44,88
35,0.38379,0.36008,1.13,44,88
36,0.38379,0.36008,1.14,44,88
37,0.38379,0.36008,1.15,44,88
38,0.38379,0.36008,1.15,44,88
39,0.38379,0.36008,1.16,44,88
40,0.38379,0.36008,1.17,44,88
41,0.38379,0.36008,1.18,44,88
42,0.38379,0.36008,1.19,44,88
43,0.38379,0.36008,1.19,44,88
44,0.38379,0.36008,1.2,44,88
45,0.38379,0.36008,1.21,44,88
46,0.38379,0.36008,1.22,44,88
47,0.38379,0.36008,1.23,44,88
48,0.38379,0.36008,1.24,44,88
49,0.38379,0.36008,1.25,44,88
50,0.38379,0.36008,1.26,44,88
51,0.38379,0.36008,1.27,44,88
52,0.38379,0.36008,1.27,44,88
53,0.38379,0.36008,1.28,44,88
54,0.38379,0.36008,1.29,44,88
55,0.38379,0.36008,1.3,44,88
56,0.38379,0.36008,1.31,44,88
57,0.38379,0.36008,1.32,43,88
58,0.38379,0.36008,1.33,43,89
59,0.38379,0.36008,1.34,43,89
60,0.38379,0.36008,1.35,43,89
61,0.38379,0.36008,1.36,43,89
62,0.38379,0.36008,1.37,43,89
63,0.38379,0.36008,1.38,43,89
64,0.38379,0.36008,1.39,43,89
65,0.38379,0.36008,1.4,43,89
66,0.38379,0.36008,1.41,43,89
67,0.38379,0.36008,1.42,43,89
68,0.38379,0.36008,1.43,43,89
69,0.38379,0.36008,1.44,43,89
70,0.38379,0.36008,1.45,43,89
71,0.38379,0.36008,1.46,43,89
72,0.38379,0.36008,1.47,43,89
73,0.38379,0.36008,1.48,43,89
74,0.38379,0.36008,1.49,43,89
75,0.38379,0.36008,1.5,43,89
76,0.38379,0.36008,1.51,43,89
77,0.38379,0.36008,1.52,43,89
78,0.38379,0.36008,1.53,43,89
79,0.38379,0.36008,1.54,43,89
80,0.38379,0.36008,1.55,43,89
81,0.38379,0.36008,1.56,43,89
82,0.38379,0.36008,1.57,43,89
83,0.38379,0.36008,1.58,43,89
84,0.38379,0.36008,1.59,43,90
85,0.38379,0.36008,1.6,43,90
86,0.38379,0.36008,1.6,43,90
87,0.38379,0.36008,1.61,43,90
88,0.38379,0.36008,1.62,43,90
89,0.38379,0.36008,1.62,43,90
90,0.38379,0.36008,1.63,43,90
91,0.38379,0.36008,1.64,43,90
92,0.38379,0.36008,1.65,43,90
93,0.38379,0.36008,1.65,43,90
94,0.38379,0.36008,1.66,43,90
95,0.38379,0.36008,1.67,43,90
96,0.38379,0.36008,1.68,43,90
97,0.38379,0.36008,1.68,43,90
98,0.38379,0.36008,1.69,43,90
99,0.38379,0.36008,1.7,43,90
100,0.38379,0.36008,1.71,43,90
101,0.38379,0.36008,1.71,43,90
102,0.38379,0.36008,1.72,43,90
103,0.38379,0.36008,1.73,43,90
104,0.38379,0.36008,1.74,43,90
105,0.38379,0.36008,1.75,43,90
106,0.38379,0.36008,1.76,43,90
107,0.38379,0.36008,1.77,43,90
108,0.38379,0.36008,1.78,43,90
109,0.38379,0.36008,1.79,43,90
